"landfill_name","year","area","area_ha"
"Agbogbloshie",2008,98726.3728787158,9.87263728787158
"Agbogbloshie",2009,76173.4402794763,7.61734402794763
"Agbogbloshie",2010,124410.341334535,12.4410341334535
"Agbogbloshie",2011,124410.341334535,12.4410341334535
"Agbogbloshie",2012,124410.341334535,12.4410341334535
"Agbogbloshie",2013,161965.087496623,16.1965087496623
"Agbogbloshie",2014,125290.963760578,12.5290963760578
"Awutu_Senya",2008,140.673310905459,0.0140673310905459
"Awutu_Senya",2009,140.673310905459,0.0140673310905459
"Awutu_Senya",2010,140.673310905459,0.0140673310905459
"Awutu_Senya",2011,140.673310905459,0.0140673310905459
"Awutu_Senya",2012,140.673310905459,0.0140673310905459
"Awutu_Senya",2013,1606.38538398113,0.160638538398113
"Awutu_Senya",2014,385.863090269361,0.0385863090269361
"Gbalahi",2008,9074.97384104882,0.907497384104882
"Gbalahi",2009,9074.97384104882,0.907497384104882
"Gbalahi",2010,10135.9694315236,1.01359694315236
"Gbalahi",2011,33250.0743314841,3.32500743314841
"Gbalahi",2012,45255.3657066278,4.52553657066278
"Gbalahi",2013,48529.4269832144,4.85294269832144
"Gbalahi",2014,58860.5878215675,5.88605878215675
"Nkanfoa",2008,21075.3168703353,2.10753168703353
"Nkanfoa",2009,21075.3168703353,2.10753168703353
"Nkanfoa",2010,21075.3168703353,2.10753168703353
"Nkanfoa",2011,37255.7617989397,3.72557617989397
"Nkanfoa",2012,31760.9086452177,3.17609086452177
"Nkanfoa",2013,41447.6361654051,4.14476361654051
"Nkanfoa",2014,52931.3980897838,5.29313980897837
"Nsumia",2008,18043.4331207598,1.80434331207598
"Nsumia",2009,18043.4331207598,1.80434331207598
"Nsumia",2010,18043.4331207598,1.80434331207598
"Nsumia",2011,20391.1031831009,2.03911031831009
"Nsumia",2012,14653.6447490343,1.46536447490343
"Nsumia",2013,14653.6447490343,1.46536447490343
"Nsumia",2014,20900.650354587,2.0900650354587
"Oti",2008,50739.5062125012,5.07395062125012
"Oti",2009,50739.5062125012,5.07395062125012
"Oti",2010,50739.5062125012,5.07395062125012
"Oti",2011,50739.5062125012,5.07395062125012
"Oti",2012,50739.5062125012,5.07395062125012
"Oti",2013,48943.0627067611,4.89430627067611
"Oti",2014,74739.6787641156,7.47396787641156
"Pantang_Borla",2008,60493.2857286798,6.04932857286798
"Pantang_Borla",2009,60493.2857286798,6.04932857286798
"Pantang_Borla",2010,60493.2857286798,6.04932857286798
"Pantang_Borla",2011,72374.9009162323,7.23749009162323
"Pantang_Borla",2012,70659.6452545967,7.06596452545968
"Pantang_Borla",2013,69896.5205694103,6.98965205694103
"Pantang_Borla",2014,81262.3290478051,8.12623290478051
"Sherigu_Bolgatanga",2008,959.51080000458,0.095951080000458
"Sherigu_Bolgatanga",2009,959.51080000458,0.095951080000458
"Sherigu_Bolgatanga",2010,959.51080000458,0.095951080000458
"Sherigu_Bolgatanga",2011,1302.26726693484,0.130226726693484
"Sherigu_Bolgatanga",2012,1302.26726693484,0.130226726693484
"Sherigu_Bolgatanga",2013,3307.83688147688,0.330783688147688
"Sherigu_Bolgatanga",2014,3307.83688147688,0.330783688147688
"Sofokrom",2008,26746.2726508229,2.67462726508229
"Sofokrom",2009,26746.2726508229,2.67462726508229
"Sofokrom",2010,26746.2726508229,2.67462726508229
"Sofokrom",2011,32235.2590487911,3.22352590487911
"Sofokrom",2012,32235.2590487911,3.22352590487911
"Sofokrom",2013,35160.5365779652,3.51605365779652
"Sofokrom",2014,43318.3665454834,4.33183665454834
"Wa",2008,17311.0808100447,1.73110808100447
"Wa",2009,17311.0808100447,1.73110808100447
"Wa",2010,17311.0808100447,1.73110808100447
"Wa",2011,18811.5917698136,1.88115917698136
"Wa",2012,18811.5917698136,1.88115917698136
"Wa",2013,21125.0502526183,2.11250502526183
"Wa",2014,21125.0502526183,2.11250502526183
